CRS,REGIAO_SAU,Municipios,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC
1º CRS,METROPOLITANA I,MARITUBA,1161,688,0,0,43,43,1204,731
10º CRS,XINGU,MEDICILANDIA,189,180,0,0,7,0,196,180
8º CRS,MARAJO II,MELGACO,256,140,0,0,0,0,256,140
13º CRS,TOCANTINS,MOCAJUBA,237,59,0,0,0,0,237,59
6º CRS,TOCANTINS,MOJU,420,597,87,66,0,0,507,663
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,52,0,0,0,0,118,52
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,252,0,0,0,0,389,252
7º CRS,MARAJO I,MUANA,192,96,0,0,0,0,192,96
5º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,78,0,0,0,0,138,78
11º CRS,CARAJÁS,NOVA IPIXUNA,127,68,0,0,0,0,127,68
4º CRS,RIO CAETES,NOVA TIMBOTEUA,146,74,0,0,0,0,146,74
9º CRS,TAPAJOS,NOVO PROGRESSO,919,140,691,0,0,0,1610,140
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,1213,318,590,0,0,0,1803,318
9º CRS,BAIXO AMAZONAS,OBIDOS,663,368,181,177,0,0,844,545
13º CRS,TOCANTINS,OEIRAS DO PARA,246,242,0,0,0,0,246,242
9º CRS,BAIXO AMAZONAS,ORIXIMINA,2087,606,1450,646,0,0,3537,1252
4º CRS,RIO CAETES,OUREM,126,65,0,0,0,0,126,65
12º CRS,ARAGUAIA,OURILANDIA DO NORTE,1473,229,880,3,4,4,2357,236
10º CRS,XINGU,PACAJA,286,146,0,0,0,0,286,146
11º CRS,CARAJÁS,PALESTINA DO PARA,78,82,0,0,0,0,78,82
5º CRS,METROPOLITANA III,PARAGOMINAS,2216,852,777,0,18,17,3011,869
11º CRS,CARAJÁS,PARAUAPEBAS,3329,1430,1057,1,17,17,4403,1448
12º CRS,ARAGUAIA,PAU D'ARCO,284,27,180,0,0,0,464,27
4º CRS,RIO CAETES,PEIXE-BOI,68,30,0,0,0,0,68,30
11º CRS,CARAJÁS,PICARRA,105,47,0,0,0,0,105,47
9º CRS,BAIXO AMAZONAS,PLACAS,209,104,0,0,0,0,209,104
7º CRS,MARAJO I,PONTA DE PEDRAS,174,134,0,0,0,0,174,134
8º CRS,MARAJO II,PORTEL,297,283,0,0,0,0,297,283
10º CRS,XINGU,PORTO DE MOZ,264,173,13,0,0,0,277,173
9º CRS,BAIXO AMAZONAS,PRAINHA,207,200,0,0,0,0,207,200
4º CRS,RIO CAETES,PRIMAVERA,138,60,0,0,0,0,138,60
4º CRS,RIO CAETES,QUATIPURU,90,56,0,0,0,0,90,56
12º CRS,ARAGUAIA,REDENCAO,1349,450,50,0,13,0,1412,450
12º CRS,ARAGUAIA,RIO MARIA,226,39,0,0,0,0,226,39
11º CRS,CARAJÁS,RONDON DO PARA,371,352,0,0,0,0,371,352
9º CRS,TAPAJOS,RUROPOLIS,326,239,0,0,0,0,326,239
4º CRS,RIO CAETES,SALINOPOLIS,323,115,0,0,0,0,323,115
7º CRS,MARAJO I,SALVATERRA,117,116,0,0,0,0,117,116
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,193,0,0,0,0,195,193
7º CRS,MARAJO I,SANTA CRUZ DO ARARI,84,93,0,0,0,0,84,93
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,344,0,0,0,0,679,344
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,660,96,502,164,0,0,1162,260
12º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,0,0,0,0,0,240,0
5º CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,142,286,0,0,0,850,142
12º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,356,0,30,0,13,0,399,0
9º CRS,BAIXO AMAZONAS,SANTAREM,9103,2271,3838,0,30,30,12971,2301
4º CRS,RIO CAETES,SANTAREM NOVO,66,36,0,0,0,0,66,36
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,153,0,0,0,0,217,153
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,93,0,0,0,0,118,93
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,229,151,26,0,0,0,255,151
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,242,0,0,0,0,237,242
12º CRS,ARAGUAIA,SAO FELIX DO XINGU,1379,229,842,0,19,3,2240,232
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,192,0,0,0,0,184,192
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,491,81,240,158,0,0,731,239
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,59,0,0,0,0,56,59
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,63,0,0,0,0,168,63
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,164,82,0,0,0,0,164,82
5º CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,321,0,0,0,0,436,321
7º CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,111,0,0,0,0,196,111
12º CRS,ARAGUAIA,SAPUCAIA,82,27,0,0,15,8,97,35
10º CRS,XINGU,SENADOR JOSE PORFIRIO,670,57,544,0,0,0,1214,57
7º CRS,MARAJO I,SOURE,145,111,0,0,0,0,145,111
6º CRS,LAGO TUCURUÍ,TAILANDIA,600,201,0,0,0,0,600,201
3º CRS,METROPOLITANA III,TERRA ALTA,89,98,0,0,0,0,89,98
9º CRS,BAIXO AMAZONAS,TERRA SANTA,193,127,0,0,0,0,193,127
2º CRS,METROPOLITANA II,TOME-ACU,557,340,357,180,4,4,918,524
4º CRS,RIO CAETES,TRACUATEUA,292,85,0,0,0,0,292,85
9º CRS,TAPAJOS,TRAIRAO,223,97,84,0,0,0,307,97
12º CRS,ARAGUAIA,TUCUMA,615,70,0,0,0,0,615,70
11º CRS,LAGO TUCURUÍ,TUCURUI,1843,829,267,140,13,13,2123,982
5º CRS,METROPOLITANA III,ULIANOPOLIS,502,243,0,0,0,0,502,243
10º CRS,XINGU,URUARA,354,173,0,0,0,0,354,173
2º CRS,METROPOLITANA II,VIGIA,416,152,0,0,0,0,416,152
4º CRS,RIO CAETES,VISEU,451,104,0,0,0,0,451,104
10º CRS,XINGU,VITORIA DO XINGU,539,193,283,0,0,0,822,193
12º CRS,ARAGUAIA,XINGUARA,640,0,0,0,8,0,648,0
